Horodatage,Température (°C),Humidité (%),Pression (hPa),Vitesse Vent (m/s),Direction Vent (°),Rafale Vent (m/s),Direction Rafale (°),Taux de pluie (mm/h),Batterie (volts),statut de la température,statut du LOG,statut du WSS,statut du GPS
2025-05-09 10:16:21,22.5,34.6,1010.3,0.0,264.7,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:21,22.5,34.6,1010.3,0.0,264.7,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:21,22.5,34.6,1010.3,0.0,264.7,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:22,22.5,34.6,1010.3,0.0,264.7,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:22,22.6,34.6,1010.3,0.0,264.3,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:23,22.6,34.6,1010.3,0.0,264.3,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:23,22.6,34.6,1010.3,0.0,264.3,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:23,22.6,34.6,1010.3,0.0,264.3,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:24,22.6,34.6,1010.3,0.0,263.9,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:24,22.6,34.6,1010.3,0.0,263.9,0.0,0.0,0.0,12.529,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:25,22.6,34.6,1010.3,0.0,263.9,0.0,0.0,0.0,12.529,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:25,22.6,34.6,1010.3,0.0,263.9,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:25,22.5,34.6,1010.3,0.0,263.8,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:26,22.5,34.6,1010.3,0.0,263.8,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:26,22.5,34.6,1010.3,0.0,263.8,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:26,22.5,34.6,1010.3,0.0,263.8,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:27,22.5,34.6,1010.3,0.0,263.6,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:27,22.5,34.6,1010.3,0.0,263.6,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:28,22.5,34.6,1010.3,0.0,263.6,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:28,22.5,34.6,1010.3,0.0,263.6,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:29,22.5,34.6,1010.3,0.0,263.7,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:29,22.5,34.6,1010.3,0.0,263.7,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:29,22.5,34.6,1010.3,0.0,263.7,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:30,22.5,34.6,1010.3,0.0,263.7,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:30,22.5,34.6,1010.3,0.0,264.0,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:31,22.5,34.6,1010.3,0.0,264.0,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:31,22.5,34.6,1010.3,0.0,264.0,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
